key,week,n,dup_rate,label_absent_rate
ppi30_ipt_dir_size,15,2764,0.03219971056439942,0.000361794500723589
ppi30_ipt_dir_size,16,3180,0.031446540880503145,0.0
ppi30_ipt_dir_size,17,3965,0.027238335435056747,0.00025220680958385876
ppi30_ipt_dir_size,18,4100,0.026829268292682926,0.0007317073170731707
ppi30_ipt_dir_size,19,3959,0.024248547613033595,0.0
ppi30_ipt_dir_size,20,3614,0.02462645268400664,0.0005534034311012728
ppi30_ipt_dir_size,21,3298,0.023347483323226198,0.00030321406913280777
ppi30_ipt_dir_size,22,3237,0.02842137781896818,0.00030892801977139327
ppi30_ipt_dir_size,23,3057,0.01701014066077854,0.00032711808963035657
ppi30_ipt_dir_size,24,3193,0.01691199498903852,0.0
ppi30_ipt_dir_size,25,3147,0.02129011757229107,0.00031776294884016526
ppi30_ipt_dir_size,26,2511,0.022301871764237355,0.00039824771007566706
ppi30_ipt_dir_size,27,1747,0.01602747567258157,0.0
ppi30_ipt_dir_size,28,2164,0.0166358595194085,0.0004621072088724584
ppi30_ipt_dir_size,29,1941,0.0190623390005152,0.0005151983513652757
ppi30_ipt_dir_size,30,1981,0.0176678445229682,0.0005047955577990914
ppi30_ipt_dir_size,31,1883,0.012745618693574084,0.0
ppi30_ipt_dir_size,32,1954,0.01330603889457523,0.0
ppi30_ipt_dir_size,33,1947,0.012326656394453005,0.0
ppi30_ipt_dir_size,34,2049,0.013177159590043924,0.0
ppi30_ipt_dir_size,35,2217,0.014884979702300407,0.0004510599909788002
ppi30_ipt_dir_size,36,2623,0.009149828440716736,0.0
ppi30_ipt_dir_size,37,2669,0.010116148370176097,0.0
ppi30_ipt_dir_size,38,2651,0.007167106752168993,0.0
ppi30_ipt_dir_size,39,2488,0.012459807073954984,0.0
ppi30_ipt_dir_size,40,2724,0.00881057268722467,0.0
ppi30_ipt_dir_size,41,2948,0.012550881953867029,0.00033921302578018993
ppi30_ipt_dir_size,42,3045,0.008866995073891626,0.0
ppi30_ipt_dir_size,43,2463,0.011774259033698742,0.0
ppi30_ipt_dir_size,44,2761,0.00833031510322347,0.0
ppi30_ipt_dir_size,45,3016,0.007957559681697613,0.0
ppi30_ipt_dir_size,46,2485,0.013682092555331992,0.0
ppi30_ipt_dir_size,47,3034,0.010876730388925511,0.0003295978905735003
ppi30_ipt_dir_size,48,2994,0.008684034736138945,0.0006680026720106881
ppi30_ipt_dir_size,49,2905,0.007573149741824441,0.0
ppi30_ipt_dir_size,50,1285,0.011673151750972763,0.0
ppi30_ipt_dir_size,51,1669,0.013181545835829839,0.0
ppi30_ipt_dir_size,52,332,0.015060240963855422,0.0
ppi30_ipt_dir_size,all,100000,0.01682,0.0002
ppi30_dir_size,15,2764,0.23842257597684516,0.002170767004341534
ppi30_dir_size,16,3180,0.21509433962264152,0.00220125786163522
ppi30_dir_size,17,3965,0.2184110970996217,0.0025220680958385876
ppi30_dir_size,18,4100,0.20097560975609757,0.0034146341463414634
ppi30_dir_size,19,3959,0.2124273806516797,0.0022733013387218996
ppi30_dir_size,20,3614,0.18954067515218595,0.003320420586607637
ppi30_dir_size,21,3298,0.20770163735597333,0.0018192844147968466
ppi30_dir_size,22,3237,0.20451034908866234,0.002471424158171146
ppi30_dir_size,23,3057,0.19528949950932287,0.003598298985933922
ppi30_dir_size,24,3193,0.16003758221108674,0.003758221108675227
ppi30_dir_size,25,3147,0.16619002224340643,0.0031776294884016524
ppi30_dir_size,26,2511,0.15053763440860216,0.0027877339705296694
ppi30_dir_size,27,1747,0.16084716657126502,0.0022896393817973667
ppi30_dir_size,28,2164,0.11737523105360444,0.0023105360443622922
ppi30_dir_size,29,1941,0.11540443070582174,0.0020607934054611026
ppi30_dir_size,30,1981,0.104997476022211,0.001514386673397274
ppi30_dir_size,31,1883,0.11152416356877323,0.0010621348911311736
ppi30_dir_size,32,1954,0.07983623336745138,0.00255885363357216
ppi30_dir_size,33,1947,0.09090909090909091,0.0015408320493066256
ppi30_dir_size,34,2049,0.08882381649585164,0.002440214738897023
ppi30_dir_size,35,2217,0.09246729815065403,0.0004510599909788002
ppi30_dir_size,36,2623,0.0781547845977888,0.0015249714067861228
ppi30_dir_size,37,2669,0.06556762832521544,0.0026227051330086175
ppi30_dir_size,38,2651,0.05394190871369295,0.0003772161448509996
ppi30_dir_size,39,2488,0.06953376205787781,0.0012057877813504824
ppi30_dir_size,40,2724,0.06093979441997063,0.0014684287812041115
ppi30_dir_size,41,2948,0.062075983717774764,0.0010176390773405698
ppi30_dir_size,42,3045,0.05451559934318555,0.0013136288998357964
ppi30_dir_size,43,2463,0.06211936662606577,0.0008120178643930166
ppi30_dir_size,44,2761,0.05179282868525897,0.0007243752263672582
ppi30_dir_size,45,3016,0.04774535809018567,0.0003315649867374005
ppi30_dir_size,46,2485,0.05472837022132797,0.00040241448692152917
ppi30_dir_size,47,3034,0.046473302570863545,0.0003295978905735003
ppi30_dir_size,48,2994,0.04408817635270541,0.0013360053440213762
ppi30_dir_size,49,2905,0.038898450946643716,0.0
ppi30_dir_size,50,1285,0.04046692607003891,0.0
ppi30_dir_size,51,1669,0.044337926902336726,0.0017974835230677051
ppi30_dir_size,52,332,0.060240963855421686,0.0
ppi30_dir_size,all,100000,0.12131,0.00184
ppi10_dir_size,15,2764,0.2992040520984081,0.002532561505065123
ppi10_dir_size,16,3180,0.26666666666666666,0.0025157232704402514
ppi10_dir_size,17,3965,0.27313997477931906,0.003278688524590164
ppi10_dir_size,18,4100,0.25439024390243903,0.003902439024390244
ppi10_dir_size,19,3959,0.2677443798939126,0.0030310684516291994
ppi10_dir_size,20,3614,0.23851687880464859,0.0035971223021582736
ppi10_dir_size,21,3298,0.2504548211036992,0.0018192844147968466
ppi10_dir_size,22,3237,0.2523941921532283,0.003398208217485326
ppi10_dir_size,23,3057,0.2312724893686621,0.003598298985933922
ppi10_dir_size,24,3193,0.19292201691199498,0.004384591293454432
ppi10_dir_size,25,3147,0.20082618366698443,0.0038131553860819827
